pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr3_id,ra,dec,sy_dist,sy_snum,sy_pnum,cb_flag,st_teff,st_mass,st_rad,st_lum,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,discoverymethod,disc_year,disc_facility,pl_controv_flag
"Kepler-254 c","Kepler-254","c",,,"TIC 158665380","Gaia DR3 2130250731680096384",288.1646541,45.8164257,1389.48000000,1,3,0,5957.00,0.849000,0.910000,-0.12491,2.15000000,3.20000000,"Mass",1.770000,787.00,67.2250,12.41218300000,0.1050000000,0.000000,89.95000,"Transit",2014,"Kepler",0
"Kepler-254 d","Kepler-254","d",,,"TIC 158665380","Gaia DR3 2130250731680096384",288.1646541,45.8164257,1389.48000000,1,3,0,5957.00,0.849000,0.910000,-0.12491,2.50000000,6.80000000,"M-R relationship",2.390000,686.00,38.8440,18.74647700000,0.1390000000,0.000000,89.11000,"Transit",2014,"Kepler",0
"Kepler-255 b","Kepler-255","b",,,"TIC 272083669","Gaia DR3 2080202611655694336",296.0642702,45.9767647,1052.53000000,1,3,0,5573.00,0.867000,0.933000,-0.18311,1.55000000,3.02000000,"M-R relationship",4.460000,971.00,174.3950,5.71460600000,0.0630000000,0.000000,88.25000,"Transit",2014,"Kepler",0
"Kepler-255 c","Kepler-255","c",,,"TIC 272083669","Gaia DR3 2080202611655694336",296.0642702,45.9767647,1052.53000000,1,3,0,5573.00,0.867000,0.933000,-0.18311,2.99000000,9.22000000,"M-R relationship",1.900000,807.00,83.2640,9.94604700000,0.0920000000,0.000000,89.91000,"Transit",2014,"Kepler",0
"Kepler-255 d","Kepler-255","d",,,"TIC 272083669","Gaia DR3 2080202611655694336",296.0642702,45.9767647,1052.53000000,1,3,0,5431.00,0.900000,0.860000,-0.18311,1.32000000,2.30000000,"M-R relationship",5.500000,1710.00,1686.0900,1.04562265800,0.0192000000,0.000000,89.51000,"Transit",2016,"Kepler",0
"Kepler-256 b","Kepler-256","b",,,"TIC 63362772","Gaia DR3 2128250926189039488",292.5804200,46.0973588,1026.43000000,1,4,0,5551.00,1.037000,1.301000,-0.05910,1.59000000,3.15000000,"M-R relationship",4.310000,1681.00,1225.9340,1.62049300000,0.0270000000,0.000000,87.20000,"Transit",2014,"Kepler",0
"Kepler-256 c","Kepler-256","c",,,"TIC 63362772","Gaia DR3 2128250926189039488",292.5804200,46.0973588,1026.43000000,1,4,0,5551.00,1.037000,1.301000,-0.05910,2.15000000,5.27000000,"M-R relationship",2.910000,1315.00,457.0660,3.38802000000,0.0450000000,0.000000,87.20000,"Transit",2014,"Kepler",0
"Kepler-256 d","Kepler-256","d",,,"TIC 63362772","Gaia DR3 2128250926189039488",292.5804200,46.0973588,1026.43000000,1,4,0,5551.00,1.037000,1.301000,-0.05910,2.48000000,6.71000000,"M-R relationship",2.420000,1097.00,221.1000,5.83917200000,0.0640000000,0.000000,88.54000,"Transit",2014,"Kepler",0
"Kepler-256 e","Kepler-256","e",,,"TIC 63362772","Gaia DR3 2128250926189039488",292.5804200,46.0973588,1026.43000000,1,4,0,5551.00,1.037000,1.301000,-0.05910,2.35000000,6.12000000,"M-R relationship",2.590000,897.00,98.9000,10.68157200000,0.0960000000,0.000000,87.92000,"Transit",2014,"Kepler",0
"Kepler-257 b","Kepler-257","b",,,"TIC 273132699","Gaia DR3 2080246282881778048",297.3159994,46.0232642,780.25600000,1,3,0,5180.00,0.916000,1.037000,-0.37756,2.61000000,7.32000000,"M-R relationship",2.260000,1237.00,343.6000,2.38266700000,0.0340000000,0.000000,84.74000,"Transit",2014,"Kepler",0
