source_id,designation,ref_epoch,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,duplicated_source,astrometric_params_solved,visibility_periods_used,phot_variable_flag,non_single_star,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
2128039304560957952,Gaia DR3 2128039304560957952,2016.0,293.1311830075063,45.66341133558305,78.16898542963825,12.42903707780568,2.659957654269294,0.011858901,224.30052,31.579578,13.527905963000848,0.013985915,-28.535339166911882,0.015082774,1.9728234,2.4551127,13.792993,14.28028,13.150083,1.1301975,0.93382365,false,31,25,NOT_AVAILABLE,0,5059.3853,360.7322,357.6378,362.6832
2128047069862606208,Gaia DR3 2128047069862606208,2016.0,293.0181856847373,45.91470622591405,78.36430136478045,12.61070125714892,1.0511283430930765,0.021794152,48.229836,12.558741,-12.557516962621293,0.02543631,-0.17532447939592077,0.028238945,,,15.382504,15.823942,14.776195,1.0477476,0.96991897,false,31,27,NOT_AVAILABLE,0,5036.6694,918.1931,898.1425,944.8836
2128067720065692672,Gaia DR3 2128067720065692672,2016.0,293.7280684793719,46.12911300751494,78.78511469644222,12.264176963363749,0.8454653190377246,0.011889666,71.10925,7.7667527,-4.9079685559133335,0.014887244,-6.019492559828135,0.015783027,5.935035,5.4955707,13.9482155,14.254814,13.4807005,0.77411366,1.0113847,false,31,26,NOT_AVAILABLE,0,6162.4775,1045.0123,997.5299,1074.5413
2128069334973424000,Gaia DR3 2128069334973424000,2016.0,293.7164655683956,46.226689479082914,78.8707724860325,12.314979344083671,2.2919606450275856,0.020471657,111.95775,12.865476,0.23762501518620782,0.025702618,12.863280612673876,0.02657708,-16.196178,0.33074608,10.969153,11.253432,10.516998,0.736434,1.6745005,false,31,27,NOT_AVAILABLE,0,6165.496,421.7516,416.0763,427.5848
2128074351495006720,Gaia DR3 2128074351495006720,2016.0,293.3116961715384,46.041650391144096,78.5733070603114,12.483828400577485,0.7460146613003099,0.02405528,31.012512,8.806058,0.001412533866333554,0.026448838,-8.806058068825967,0.02798924,,,15.494422,15.883217,14.9392,0.94401646,0.9968244,false,31,28,NOT_AVAILABLE,0,5546.3965,1135.3331,1106.1982,1167.169
2128079230577866880,Gaia DR3 2128079230577866880,2016.0,293.2135162715033,46.17514671243392,78.66509213624387,12.603942375494338,1.2159943175534744,0.010650374,114.17387,8.444252,3.7156471241405447,0.012719962,7.582833539450095,0.013276917,-48.656887,2.9881423,13.421764,13.694989,12.992372,0.70261765,1.0907484,false,31,29,NOT_AVAILABLE,0,6129.991,800.2592,793.1148,806.499
2128098197152438144,Gaia DR3 2128098197152438144,2016.0,294.3255908387434,46.00226535924586,78.86025955702281,11.836899649693343,2.090459643774129,0.03877409,53.913822,7.770946,5.213865284637187,0.05319048,5.76222273935759,0.04959838,-16.240166,2.7007322,13.672951,14.159197,13.015895,1.143302,3.8360157,false,31,27,VARIABLE,0,4974.268,449.8098,443.7353,455.6453
2128112181565948800,Gaia DR3 2128112181565948800,2016.0,294.1533497484809,46.16639635083431,78.95459568388458,12.017708749191716,0.873427542930765,0.034370728,25.41196,9.426961,-3.5296949734166576,0.041272886,-8.74121573478904,0.03881645,,,16.161167,16.6444,15.513578,1.1308212,1.0580306,false,31,27,NOT_AVAILABLE,0,5052.823,987.9012,973.5852,1014.2628
2128117541685424128,Gaia DR3 2128117541685424128,2016.0,294.0054188298122,46.31066226180788,79.03918516556332,12.174042777647928,1.6009372153521835,0.025268693,63.356552,3.9660065,3.6684823401102946,0.031857546,-1.5071315543374109,0.02988605,,,15.755091,16.37197,15.003409,1.3685598,1.006001,false,31,27,VARIABLE,0,4631.164,647.0362,644.1367,652.2793
2128125650583752832,Gaia DR3 2128125650583752832,2016.0,294.0575673368467,46.440984023783216,79.17482682379487,12.20049120975411,0.5176993728699399,0.023598062,21.938215,4.660065,-3.883004949816157,0.026931968,-2.5765247206718547,0.027923873,,,15.779977,16.170897,15.227406,0.943491,0.9853979,false,31,29,NOT_AVAILABLE,0,5574.725,1448.0348,1412.5688,1487.5303
