source_id,designation,ref_epoch,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,duplicated_source,astrometric_params_solved,visibility_periods_used,phot_variable_flag,non_single_star,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
2131736137528127744,Gaia DR3 2131736137528127744,2016.0,283.34029562244706,48.5490629044781,78.26084497357871,19.683629969682375,2.1497444935362955,0.0099629555,215.77377,7.7467637,4.092695290218944,0.011061014,6.577400075358794,0.01327927,7.569341,2.3438802,13.383006,13.724795,12.878429,0.8463659,1.0283659,false,31,27,NOT_AVAILABLE,0,5650.103,456.0448,452.243,483.3966
2131737340118958336,Gaia DR3 2131737340118958336,2016.0,283.2070173144903,48.58052299247155,78.26192617300978,19.777267185172587,0.9014294482019816,0.018865462,47.781994,9.963883,8.294331920701595,0.020742845,5.521144548033284,0.026812654,,,14.9983425,15.368307,14.465602,0.9027052,1.0258268,false,31,27,NOT_AVAILABLE,0,5670.173,1014.6487,981.3128,1039.8226
2131748472674257280,Gaia DR3 2131748472674257280,2016.0,283.0686509591304,48.80212200406463,78.45345156114435,19.93537708387306,0.9053444786828132,0.015313661,59.120056,7.753478,-0.34600218956240947,0.019713422,7.745754136195467,0.01873608,-43.61596,6.8307724,14.4557295,14.746109,14.0043955,0.7417135,1.0585102,false,31,28,NOT_AVAILABLE,0,6033.8545,1032.6122,929.0519,1070.5844
2131748747552136960,Gaia DR3 2131748747552136960,2016.0,283.20916095944693,48.777615385905655,78.46057762749997,19.83985177603552,1.4399683147143867,0.012965149,111.064545,2.4818974,2.144040985169693,0.015979042,-1.2501610118294781,0.015948463,-5.679425,5.186949,14.180294,14.51874,13.678813,0.8399267,0.9636755,false,31,28,NOT_AVAILABLE,0,5639.607,660.7659,653.9963,668.8175
2131799084568477056,Gaia DR3 2131799084568477056,2016.0,284.56695538260186,49.012712428767145,79.00896694733254,19.075167465391672,3.7138943922269116,0.021040168,176.5145,34.97173,6.556307452930896,0.023247333,34.35166173594359,0.024810413,-3.1167657,5.679113,15.118451,15.961561,14.219674,1.7418871,1.1077138,false,31,27,NOT_AVAILABLE,0,4226.342,279.618,278.0465,281.0959
2131804165512770176,Gaia DR3 2131804165512770176,2016.0,284.2513653002341,48.80959565591412,78.7326379195101,19.202159568750584,0.930668774485425,0.027154513,34.27308,8.695956,7.709576287989264,0.030755166,-4.022697067585496,0.034028307,,,15.731917,16.177332,15.12412,1.0532122,0.97216076,false,31,25,NOT_AVAILABLE,0,5078.9263,917.7274,892.5264,959.3699
2131804479047342336,Gaia DR3 2131804479047342336,2016.0,284.22332549350466,48.8317213398322,78.74816547509043,19.226966778145737,1.2365998969129617,0.019949643,61.98607,12.51713,-4.9143466845593675,0.022841312,-11.512069491646134,0.024399223,,,14.887041,15.28962,14.316787,0.97283363,1.1319507,false,31,26,NOT_AVAILABLE,0,5250.176,814.4592,791.2222,991.9299
2131804925724122240,Gaia DR3 2131804925724122240,2016.0,284.1326048596389,48.825145866944986,78.72045319817616,19.28105552861355,1.2571044964433231,0.60396004,2.0814366,7.0861936,-4.654375675419949,0.7179758,5.343306396642653,0.7799455,-35.248013,6.0430975,14.350877,14.718285,13.689777,1.0285072,39.460304,false,31,27,NOT_AVAILABLE,0,5119.202,5652.132,5632.2275,5672.7354
2131815577243101696,Gaia DR3 2131815577243101696,2016.0,284.29693495586093,49.15859567435554,79.0915979769739,19.290725107596092,1.042576707285669,0.019753743,52.778694,20.003693,-6.460190270315486,0.022980034,-18.931817066478697,0.02439894,,,15.255569,15.669883,14.679146,0.99073696,1.0055331,false,31,27,NOT_AVAILABLE,0,5251.104,868.1215,853.0748,884.4872
2131817707546856320,Gaia DR3 2131817707546856320,2016.0,284.13297613886147,49.14263369053777,79.03780491386243,19.386532445382954,4.5815118060451105,0.017342435,264.17926,17.598228,15.603809851938006,0.021092204,8.137490180498077,0.021662487,-48.011787,2.7691653,14.882358,15.870053,13.898936,1.971117,1.0131099,false,31,26,NOT_AVAILABLE,0,4109.9927,216.4006,215.5173,217.2647
