"exoID","IAU-name (exoplanet)","etymology","planet designator","theme","iAU-name (host star)","wgsnCat","star name etymology","constellation","country"
"43","Yvaga","Yvaga means paradise for the Guarani and the Milky Way was known as the road to Yvaga or paradise.","HD 63765 b","Terms associated with Guarani cosmovision.","Tapecue","10034","Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.","Carina","Bolivia"
"44","Naron","Naron is one of the names given to the Neretva river in Herzegovina (and partly in Croatia) in antiquity orginating with the Celts who called it Nera Etwa which means the Flowing Divinity.","HD 206610 b","Ancient names associated with the Bosna and Neretva rivers and tributaries of Bosnia and Herzegovina.","Bosona","10115","Bosona is the name given to the territory of Bosnia in the 10th century. Later, the name was transformed to Bosnia originating from the name of the Bosna river.","Aquarius","Bosnia and Herzegovina"
"45","Guarani","Guarani is the name of the most populous Indigenous people living in South Brazil and parts of Argentina, Paraguay and Uruguay.","HD 23079 b","Names of Indigenous Peoples of Brazil.","Tupi","10017","Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.","Reticulum","Brazil"
"46","Mastika","Mastika is a Malay word, which means a gem, precious stone, jewel or the prettiest, the most beautiful.","HD 179949 b","Terms associated with precious gems and stones in Malay language.","Gumala","7312","Gumala is a Malay word, which means a magic bezoar stone found in snakes, dragons, etc.","Sagittarius","Brunei"
"47","Bendida","Bendida is the Great Mother Goddess of the Thracians. She was especially revered as a goddess of marriage and living nature.","WASP-21 b","Names of deities from Thracian and early Bulgar mythology.","Tangra","10125","Tangra is the supreme celestial god that early Bulgars worshiped.","Pegasus","Bulgaria"
"48","Nakanbé","The Nakanbé, also called Volta Blanche, is the second largest river in Burkina Faso. Its source is in the heart of the Sahara Burkinabe and ends in Ghana.","HD 30856 b","Names associated with the prominent rivers of Burkina Faso in local languages.","Mouhoun","10020","Mouhoun, also called Volta Noire, is the largest river in Burkina Faso and plays an important role in the lives of the people in the areas it passes through.","Eridanus","Burkina Faso"
"49","Awasis","Awasis is the word for child in the Indigenous Cree language of Canada.","HD 136418 b","Names of family members in the indigenous Cree language of Canada.","Nikawiy","10084","Nikawiy is the word for mother in the Indigenous Cree language of Canada.","Bootes","Canada"
"50","Caleuche","Caleuche is a large ghost ship from southern Chilean mythology which sails the seas around the island of Chiloé at night.","HD 164604 b","Names from mythology of southern Chile associated with the seas.","Pincoya","10102","Pincoya is a female water spirit from southern Chilean mythology who is said to bring drowned sailors to the Caleuche so that they can live in the afterlife.","Sagittarius","Chile"
"51","Wangshu","Wangshu (望舒) is the goddess who drives for the Moon and also represents the Moon in Chinese mythology.","HD 173416 b","Names of celestial deities from ancient Chinese mythology.","Xihe","7058","Xihe (羲和) is the goddess of the sun in the Chinese mythology and also represents the earliest astronomers and developers of calendars in ancient China.","Lyra","China Nanjing"
"52","Sazum","Sazum is the traditional name of Yuchi, a Township in Nantou county, in which the famous Sun-Moon Lake lies. Sazum means water in the language of the Thao people who are a tribe of Taiwanese aborigines who lived in the region for hundreds of years.","HD 100655 b","Historical and indigenous names for the island of Taiwan and prominent geographic features.","Formosa","4458","Formosa is the historical name of Taiwan used in the 17th century, meaning beautiful in Latin.","Leo","China Taipei"
"53","Melquíades","Melquíades is a fictional character that walks around Macondo, like a planet orbiting a star, connecting it with the external world by introducing new knowledge using his inventions as well as his stories.","HD 93083 b","Fictional names and places from the novel Cien años de Soledad (One Hundred Years of Solitude) by Colombian author Gabriel García Márquez, who was awarded the 1982 Nobel Prize in Literature.","Macondo","10054","Macondo is the mythical village of the novel One Hundred Years of Solitude (Cien años de soledad) the classic novel by Gabriel García Marquez. Macondo is a fictional place where magic and reality are mixed.","Antlia","Colombia"
"54","Pipitea","Pipitea is a small, white and gold pearl found in Penrhyn lagoon in the northern group of the Cook Islands.","HD 221287 b","Terms associated with pearls in the Cook Islands Māori language.","Poerava","10123","Poerava is the word in the Cook Islands Maori language for a large mystical black pearl of utter beauty and perfection.","Tucana","Cook Islands"
"55","Ditsö̀","Ditsö̀ is the name that the god Sibö̀ gave to the first Bribri people.","WASP-17 b","Terms associated with celestial bodies and the origins of the people in Indigenous Bribri language of Costa Rica.","Dìwö","10085","Dìwö in Bribri language means the sun (bigger than the sun we know) and that never turns off.","Scorpius","Costa Rica"
"56","Veles","Veles is a major Slavic god of earth, waters and the underworld.","HD 75898 b","Slavic deities of the Earth and underworld.","Stribor","10042","Stribor is God of winds in Slavic mythology, as well as a literature character in the book Priče iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brlić-Mažuranić.","Lynx","Croatia"
