"exoID","IAU-name (exoplanet)","etymology","planet designator","theme","iAU-name (host star)","wgsnCat","star name etymology","constellation","country"
"103","Laligurans","Laligurans are the Nepali variation of the rhododendron flower and is the national flower of Nepal.","HD 100777 b","Natural national symbols of Nepal.","Sagarmatha","10061","Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.","Leo","Nepal"
"104","Nachtwacht","The Nachtwacht (Night Watch) is a world-famous painting by Dutch grand master Rembrandt that was completed in 1642 and now belongs to the collection of the Rijksmuseum in Amsterdam.","HAT-P-6 b","Names associated with world-famous paintings by Dutch masters.","Sterrennacht","10129","The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.","Andromeda","Netherlands"
"105","Kererū","Kererū is the word in the Māori language for a large bush pigeon native to New Zealand.","HD 137388 b","Māori language terms for names of plants and animals in symbiotic relationships which are endemic to New Zealand (Aotearoa).","Karaka","9047","Karaka is the word in the Māori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.","Apus","New Zealand"
"106","Xolotlan","Xolotlan is the name of the second largest lake of Nicaragua and its name is from the Nahualt language of the indigenous tribe that settled in Nicaragua, which symbolises a native god and a refuge for animals.","HD 4208 b","Indigenous names of prominent bodies of water in Nicaragua, in the Nahuat language.","Cocibolca","10003","Cocibolca is the Nahualt name for the largest lake in Central America in Nicaragua.","Sculptor","Nicaragua"
"107","Equiano","Equiano was a writer and abolitionist from Ihiala, Nigeria who fought injustice and the elimination of the slave trade.","HD 43197 b","Historical or mythological figures of Nigeria who stand for justice and human dignity.","Amadioha","10025","Amadioha is the god of thunder in Igbo mythology. As well as representing justice, Amadioha is also a god of love, peace and unity.","CanisMajor","Nigeria"
"108","Albmi","Albmi means sky in the Northern Sami language of Norway.","HD 68988 b","Terms associated with the sky and celestial bodies in the Northern Sami language of Norway.","Násti","10040","Násti means star in the Northern Sami language of Norway.","UrsaMajor","Norway"
"109","Perwana","Perwana means moth in Urdu, alluding to the eternal love of an object circling the source of light (the lamp).","HD 99109 b","Symbolic terms associated with affinity and dedication in Urdu literature of Pakistan.","Shama","10060","Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.","Leo","Pakistan"
"110","Jebus","Jebus was the ancient name of Jerusalem in 2nd millennium BC when populated by the Canaanite tribe of Jebusites.","HAT-P-23 b","Ancient (pre-Roman) names of the city of Jerusalem (The City of Peace) or local geographic features.","Moriah","10112","Moriah is an ancient name for the mountain within the Old City of Jerusalem.","Delphinus","Palestine"
"111","Pollera","Pollera is the traditional costume the woman wears in the El Punto, a Panamanian dance in which a man and woman dance to the sound of drums.","WASP-79 b","Names associated with traditional costumes for Panamanian folk dances.","Montuno","10022","Montuno is the traditional costume the man wears in the “El Punto”, a Panamanian dance in which a man and woman dance to the sound of drums.","Eridanus","Panama"
"112","Tumearandu","Tume Arandu is a son of Rupavê and Sypavê, the original man and woman of the Universe, who is known as the Father of Wisdom in popular Paraguayan folklore.","HD 108147 b","Deities and characters from the creation mythology of the Guarani indigenous population of South America.","Tupã","10067","Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.","Crux","Paraguay"
"113","Sumajmajta","Sumaj Majta was one half of the couple involved in a tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.","HD 156411 b","Names of characters from the story Way to the Sun and other works by Peruvian writer Abraham Valdelomar (1888–1919).","Inquill","10097","Inquill was one half of the couple involved in the tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.","Ara","Peru"
"114","Haik","Haik is the successor of the primordial Aman Sinaya as the God of the Sea of the Philippine's Tagalog mythology.","WASP-34 b","Names of deities associated with the sea from the Tagalog mythology of the Philippines.","Amansinaya","10059","Aman Sinaya is one of the two trinity deities of the Philippine's Tagalog mythology, and is the primordial deity of the ocean and protector of fisherman.","Crater","Philippines"
"115","Leklsullun","Lekl Sullun means child or children in the Pitkern language of the people of Pitcairn Islands.","HD 102117 b","Terms referring to people, groups, and family in the Pitkern language of Pitcairn Island.","Uklun","10062","Uklun means us or we in the Pitkern language of the people of Pitcairn Islands.","Centaurus","Pitcairn Islands"
"116","Pirx","Pirx is a fictional character from books by Polish science-fiction writer Stanisław Lem.","BD+14 4559 b","Names of characters and places associated with books by Polish science fiction author Stanisław Lem (1921–2006).","Solaris","10117","Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.","Pegasus","Poland"
"117","Viriato","Viriato was a legendary leader of the Lusitanian people, a herdsman and hunter who led the resistance against Roman invaders during 2nd century B.C.","HD 45652 b","Names of places and people associated with the ancient history of Portugal and the western part of the Iberian Peninsula.","Lusitânia","10027","Lusitânia is the ancient name of the western region of the Iberic Peninsula where the Lusitanian people lived and where most of modern-day Portugal is situated.","Monoceros","Portugal"
"118","Aumatex","Aumatex was the God of Wind in the mythology of the Taíno Indigenous People of the Caribbean.","HIP 12961 b","Names of terms and deities associated with the heavens and atmosphere from the mythology of the Indigenous Taíno people of the Caribbean.","Koeia","10009","Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.","Eridanus","Puerto Rico"
"119","Negoiu","Negoiu is the second highest peak in Romania of the Făgăraș mountain range with an altitude of 2535 metres.","XO-1 b","Names of prominent peaks of the Făgăraș Mountain Range, representing the highest mountains in Romania.","Moldoveanu","10092","Moldoveanu is the highest peak in Romania of the Făgăraș mountain range with an altitude of 2544 metres.","CoronaBorealis","Romania"
"120","Teberda","Teberda is a mountain river in Dombay region with a rapid water flow, symbolising the planet's rapid motion around its host star.","HAT-P-3 b","Names of geographic features associated with the Teberda Nature Reserve in the Caucasus Mountains of Russia, a popular tourist destination  with mountain forests rich in wildlife including bears.","Dombay","10075","Dombay is a resort region in the North Caucasus mountains that is enclosed by mountain forests and rich wildlife, including bears (as this star lies in the constellation UrsaMajor, the great bear).","UrsaMajor","Russia"
"121","Dopere","Dopere is an expansive historical area in the north of Senegal where Belel was located.","HD 181342 b","Historic water wells and villages in the vicinity of Ourossogui, Senegal.","Belel","10106","Belel is a rare source of water in the north of Senegal.","Sagittarius","Senegal"
"122","Vlasina","Vlasina is one of the most significant tributaries of the South Morava river.","WASP-60 b","Names associated with rivers that flow through Serbia.","Morava","10130","Morava is the longest river system in Serbia.","Pegasus","Serbia"
"123","Viculus","Viculus is a Latin term for little village, embodying the spirit of the Singaporean people.","WASP-32 b","Latin terms associated with community and lions, embodying the national spirit of the people of Singapore.","Parumleo","10000","Parumleo is a Latin term for little lion, symbolising Singapore's struggle for independence.","Pisces","Singapore"
"124","Kráľomoc","Kráľomoc is an ancient Slovak term for the planet Jupiter.","HAT-P-5 b","Ancient names for celestial bodies in Slovak language.","Chasoň","10105","Chasoň is an ancient Slovak term for Sun.","Lyra","Slovakia"
"125","Iztok","Iztok is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Iztok is a freedom fighter for the Slavic people.","WASP-38 b","Names of people and places associated with the novel Pod svobodnim soncem: povest davnih dedov (Under the Free Sun: A Story of the  Ancient Grandfathers) written by Slovene writer Fran Saleški Finžgar (1871–1962).","Irena","10094","Irena is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Irena is a woman of the court.","Hercules","Slovenia"
"126","Krotoa","Krotoa is considered the Mother of Africa and member of the indigenous Khoi people, who was a community builder and educator during colonial times.","WASP-62 b","Names honouring heroines who have overcome adversity in the history of South Africa. Naledi means star in several South African languages, including Sesotho, Setswana, and Sepedi.","Naledi","10024","Naledi means star in the Sesotho, SeTswana and SePedi languages and is typically given as a name to girls in the hope that they will bring light, joy and peace to their communities.","Dorado","South Africa"
"127","Halla","Halla is the highest mountain in South Korea and is regarded as a sacred place in the region.","8 Umi b","Sacred peaks of Korea and symbols of peace and spirituality among the Korean people.","Baekdu","10080","Baekdu is the highest mountain on the Korean peninsula, situated in North Korea, and symbolises the national spirit of Korea.","UrsaMinor","South Korea"
"128","Riosar","Rio Sar is the name of a river that was present in much of the literary work of the pioneering Spanish author Rosalía de Castro.","HD 149143 b","Names and places associated with the writing and life of Galician and Spanish writer Rosalía de Castro (1837–1885).","Rosaliadecastro","10091","Rosalia de Castro was a significant figure of Galician culture and prominent Spanish writer, whose pioneeting work often referenced the night and celestial objects.","Ophiuchus","Spain"
"129","Samagiya","Samagiya means togetherness and unity in the Sinhalese language.","HD 205739 b","Terms associated with peace and unity in the Sinhalese language of Sri Lanka.","Sāmaya","10114","Sāmaya means peace in the Sinhalese language.","PiscisAustrinus","Sri Lanka"
"130","Isagel","Isagel is the name of the spaceship pilot in the epic science fiction poem Aniara written by Swedish author Harry Martinson.","HD 102956 b","Names associated with the epic science fiction poem Aniara (1956) written by Swedish author Harry Martinson, joint winner of the Nobel Prize in Literature in 1974.","Aniara","10064","Aniara is the name of a spaceship in the epic poem Aniara by Swedish author Harry Martinson.","UrsaMajor","Sweden"
"131","Eiger","Eiger is one of the prominent peaks of the Bernese Alps, in the Jungfrau-Aletsch protected area.","HD 130322 b","Prominent peaks in the Jungfrau-Aletsch Region of the Swiss Alps, the first Alpine UNESCO World Natural Heritage Site. Jungfrau shares its etymology with Virgo (maiden) in the German language.","Mönch","10083","Mönch is one of the prominent peaks of the Bernese Alps in Switzerland.","Virgo","Switzerland"
"132","Ugarit","Ugarit was a city where its scribes devised the Ugaritic alphabet around 1400 B.C. The alphabet was made up of thirty letters and was inscribed on clay tablets.","HD 218566 b","Names associated with ancient cities and kingdoms of the bronze age in Syria.","Ebla","10122","Ebla was one of the earliest kingdoms in Syria, and served as a prominent region in the 2nd and 3rd millenia B.C.","Pisces","Syria"
"133","Tanzanite","Tanzanite is the name of a precious stone mined in Tanzania and is treasured worldwide.","WASP-71 b","Names of famous natural materials symbolic of Tanzania.","Mpingo","10007","Mpingo is a famous tree that grows in southern Tanzania and produces ebony wood used for musical instruments and curios.","Cetus","Tanzania"
"134","Maeping","Mae Ping is one of the tributaries of Thailand's great river Chao Phraya.","WASP-50 b","Names associated with the great river Chao Phraya of Thailand and its principal tributaries.","Chaophraya","10014","Chao Phraya is the great river of Thailand.","Eridanus","Thailand"
"135","Agouto","Agouto (Mount Agou) is the highest mountain in Togo and a treasured region of the Atakoraka.","WASP-64 b","Names associated with the Atakoraka (Atakora) or Togo Mountains of Togo, which support spectacular sites for tourism and important resources.","Atakoraka","10032","Atakoraka means the chain of the Atacora: the largest mountain range in Togo.","CanisMajor","Togo"
"136","Ramajay","Ramajay means to sing and make music in a steelpan style, representing the love of culture and languages of the ancestors of the people of Trinidad and Tobago.","HD 96063 b","Lingo associated with music and carnival festivities of Trinidad and Tobago.","Dingolay","10057","Dingolay means to dance, twist and turn in elaborate movements, symbolising the culture and language of the ancestors of the people of Trinidad and Tobago.","Leo","Trinidad and Tobago"
"137","Khomsa","Khomsa is a palm-shaped amulet that is popular in Tunesia, used in jewelry and decorations. It depicts an open right hand and is often found in modern designs.","HD 192699 b","Names associated with traditional dress and culture of Tunesia.","Chechia","7731","Chechia is a flat-surfaced, traditional red wool hat worn by men and women, symbolising the country's rich traditions and is considered as the national headdress for in Tunesia.","Aquila","Tunesia"
"138","Göktürk","Göktürk refers to the historical origin of the Turkish people, as it was the first established state in Turkey in 5th century AD. It is also the name of a Turkish satellite and is the combination of two words, of which 'Gök' means sky.","WASP-52 b","Names for the oldest settlements and ancient names for the lands on the Anatolian peninsula in Turkish language.","Anadolu","10127","Anadolu is the primary homeland of Turkey and refers to the motherland in Turkish culture.","Pegasus","Turkey"
"139","Tryzub","Tryzub is the most recognised ancient symbol of Ukraine, that was minted on the coins of Prince Volodymyr the Great and today remains one of the country's state symbols (a small coat).","HAT-P-15 b","Names of ancient national symbols of the Ukrainian people.","Berehynia","10021","Berehynia was a Slavic deity of waters and riverbanks but in more recent times her status has been promoted to that of a national goddess — ""hearth mother, protectress of the earth"".","Perseus","Ukraine"
"140","Barajeel","A barajeel is a wind tower used to direct the flow of the wind so that air can be recirculated as a form of air conditioning.","HIP 79431 b","Names associated with the landmarks and architecture of the historical city of Sharjah in United Arab Emirates.","Sharjah","10088","Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.","Scorpius","United Arab Emirates"
"141","Cruinlagh","In Manx Gaelic, Cruinlagh means to orbit (like a planet around its star).","WASP-13 b","Terms referring to the physical processes of a planet or star in Manx Gaelic, a language spoken on the Isle of Man.","Gloas","10050","In Manx Gaelic, Gloas means to shine (like a star).","Lynx","United Kingdom"
"142","Mulchatna","The Mulchatna River is a tributary of the Nushagak River in southwestern Alaska, USA.","HD 17156 b","Names of rivers associated with the Bristol Bay watershed of southwestern Alaska, USA, famous for wild salmon which sustain local Indigenous communities.","Nushagak","10010","Nushagak is a regional river near Dilingham, Alaska, which is famous for its wild salmon that sustain local Indigenous communities.","Cassiopeia","United States of America"
"143","Ibirapitá","Ibirapitá is the name of a native tree that is characteristic of the country of Uruguay, and is also known as Artigas' tree, after the national hero.","HD 63454 b","Culturally significant species of trees native to Uruguay.","Ceibo","10033","Ceibo is the name of the native tree of Uruguay that gives rise to the national flower.","Chamaeleon","Uruguay"
"144","Madalitso","Madalitso means blessings in the native language of Nyanja in Zambia.","HD 85390 b","Terms associated with appreciation and blessings in the languages of Zambia.","Natasha","10048","Natasha means thank you in many languages of Zambia.","Vela","Zambia"
"145","Enaiposha","First used by the Maa community to refer to large bodies of water such as lakes and seas, ‘Enaiposha’ is also an expression of awe at the tumultuous nature of a large amount of water.","GJ 1214 b","Terms describing aspects of the celestial body from the language of the Maa community, including the Maasai, Samburu, Ngasa and Il-Chamus, native to Kenya and Tanzania.","Orkaria","10099","Orkaria refers to the red ochre commonly donned by young Maa warriors during cultural ceremonies and alludes to the colour of GJ 1214.","Ophiuchus","Kenya"
"146","Phailinsiam","Phailinsiam (ไพลินสยาม) is the Thai term for the blue ""Siamese Sapphire"", alluding to the detection of Rayleigh scattering in the planet’s atmosphere – suggestive of blue skies.","GJ 3470 b","Terms associated with precious stones in the Thai language.","Kaewkosin","10039","Kaewkosin (แก้วโกสินทร์) refers to the crystals of the Hindu deity Indra in the Thai language, alluding to the ancient belief that the stars were gemstones.","Cancer","Thailand"
"147","Tahay","Tahay (Calydorea xiphioides) is a small flower endemic to central Chile that only blooms between 7 and 8 hours during the year. The blooming period alludes to the length of a year for the exoplanet GJ 367 b, which is only 7.7 hours.","GJ 367 b","Names of flowers endemic to Chile, whose characteristics allude to the properties of the named celestial objects.","Añañuca","10052","Añañuca (Phycella cyrtanthoides) is the name of a red wildflower that grows from the Coquimbo region to the Maule region, whose colour alludes to that of the star GJ 367.","Vela","Chile"
"148","Awohali","“Awohali” (ᎠᏬᎭᎵ, Ah-Wo-Ha-Lee) is one of the Cherokee words for “eagle”. According to Cherokee legend, an eagle flew to the Sun to deliver a prayer for a warrior. In delivering the prayer to the Sun, the Sun kissed the tail feather of the eagle and had him return the feather to the warrior as a symbol of the connection between his people and the Great Spirit. Awohali’s sun-kissed tail feather alludes to the comet-like cloud of evaporating atmosphere detected around the exoplanet GJ 436 b.","GJ 436 b","The Cherokee legend of the eagle feather and Cherokee terms associated with celestial objects.","Noquisi","10066","“Noquisi” (ᏃᏈᏏ, No-Kwee-See) is the Cherokee word for “star”.","Leo","United States"
"149","Su","“Su” means “fire” in the Basque language, signifying its dual nature of danger and protection.","GJ 486 b","Terms associated with fire, heat, and passion from the Basque language. The original names come from the popular Basque saying “su eta gar” (fire and flame), which signifies passion and enthusiasm.","Gar","10070","“Gar” means flame in the Basque language.","Virgo","Spain"
"150","Puli","The Puli is a breed of Hungarian herding dog known for its shaggy curls and typically black fur.","HAT-P-12 b","Hungarian dog breeds and Hungarian words associated with dogs.","Komondor","10077","The Komondor is a large white Hungarian breed of livestock guardian dog.","CanesVenatici","Hungary"
"151","Guataubá","Guataubá was the herald of impending hurricanes, who brought clouds, lightning and thunder.","HAT-P-26 b","Names of deities associated with creation myths and storms from the Taíno indigenous people of the Caribbean.","Guahayona","10081","Guahayona was a Taíno mythological hero who was “the one who shone with his own light” and is identified with the morning and evening “star” Venus.","Virgo","Puerto Rico"
"152","Zembretta","Zembretta (زمبرتا) is an islet in the Gulf of Tunis, part of the UNESCO Iles Zembra et Zembretta Biosphere Reserve, Tunesia.","HATS-72 b","Places and species associated with UNESCO biosphere reserves in Tunesia.","Zembra","10120","Zembra (زمبرة) is an island in the Gulf of Tunis, known for its wildlife and seabirds. It is part of the UNESCO Iles Zembra et Zembretta Biosphere Reserve, Tunesia.","Aquarius","Tunesia"
"153","Levantes","Levantes (Λεβάντες) is a name adopted in modern Greek for easterly Mediterranean winds. The name appears in the poem ""To Axion Esti"" by 20th-century Greek poet Odysseas Elytis.","HD 95086 b","Greek Names related to winds, especially from Homer’s Odyssey and from the poem ""The Axion Esti"" (1959) by Greek poet Odysseas Elytis (1911-1996; winner of 1979 Nobel Prize for Literature).","Aiolos","10056","Aiolos (Αίολος) was the Greek mythological keeper of the winds. In Homer’s Odyssey, Aiolos used an oxhide flask to capture all winds except for the western one, Zephyr. Zephyr then helped the sailboat of Ulysses navigate the seas towards home (Ithaca).","Carina","Greece"
"154","Najsakopajk","Najsa Kopajk refers to “Mother Earth” in the language of the Zoque people.","HIP 65426 b","Words in the language of the Zoque Indigenous people of Mexico relating to cosmological vision, harmony, conflict, balance, and life.","Matza","10072","Matza refers to “a star in the sky” or “somebody that shines within” in the language of the Zoque people.","Centaurus","Mexico"
"155","Qingluan","Qingluan (青鸾) refers to a sacred blue bird, a fairy mount from the ancient Chinese book “Classic of Mountains and Seas”, and also known as a messenger of the voice of love.","L 168-9 b","Mythological birds of ancient China.","Danfeng","10128","Danfeng (丹凤) refers to the red phoenix, a sacred bird symbolising good fortune in ancient Chinese legend.","Tucana","China (Nanjing)"
"156","Kua'kua","Kua'kua means “butterfly” in the Bribri language. Kua'kua traditionally symbolises the women of the land. The appearance of some species of Kua'kua is an indirect sign of the coming of the rainy season in the region.","LHS 3844 b","Names of culturally significant animals in the language of the Bribri people from Costa Rica.","Batsũ̀","10121","Batsũ̀ means “hummingbird” in the Bribri language. Batsũ̀ are the messengers of the creator Sibö̀, a culture hero and creator of Earth and Humanity.","Indus","Costa Rica"
"157","Cuancoá","In the Lenguistica U’wa language (Tunebo) of the U’wa Indigenous community of Colombia, Cuancoá refers to the morning star that sets before sunrise.","LTT 9779 b","Terms in the Lenguistica U’wa (Tunebo) language of the U’wa Indigenous community of Colombia related to their vision of the world and cosmos.","Uúba","10131","Uúba is the word for “stars”, “seeds”, and “eyes” in the Lenguistica U’wa language (Tunebo) of the U’wa Indigenous community of Colombia.","Sculptor","Colombia"
"158","Tylos","Tylos (Τύλος) was the ancient Greek name for Bahrain island.","WASP-121 b","Names of ancient civilisations or places associated with the Bahrain archipelago.","Dilmun","10035","Dilmun was the Sumerian name of an ancient civilisation of the Bahrain archipelago and the eastern Arabian Peninsula.","Puppis","Bahrain"
"159","Catalineta","Catalineta refers to the name of a little girl who is a heroine in ""Na Filet d'Or"".","WASP-166 b","Characters in the Catalan dialect from Mallorcan folktales as recorded in ""Aplec de Rondaies Mallorquines d'en Jordi d'es Racó"" by Mallorcan writer Antoni Maria Alcover i Sureda (1862-1932).","Filetdor","10051","""Filet d'Or"" refers to a golden sea serpent, the protagonist in the Mallorcan folktale (rondalla) ""Na Filet d'Or"".","Hydra","Spain"
"160","Banksia","Banksia is a genus of Australian wildflowers and garden plants. Aboriginal and Torres Strait Islander peoples, the Indigenous people of Australia, have used Banksia for medicine, straining water, and as a nectar source to make sweet drinks. The red flowers of the scarlet banksia (Banksia coccinea), and dried banksia flower cones are used as firebrands by Indigenous peoples and allude to the glow of the hot dayside of the giant planet WASP-19b.","WASP-19 b","Names of native flora of Australia of cultural significance, whose characteristics allude to the properties of the celestial objects.","Wattle","10053","Wattle is a genus of approximately 1000 species of shrubs and trees. The Golden Wattle (Acacia pycnantha), whose colour alludes to the G-type star WASP-19, is native to Australia and is the official floral emblem of Australia.","Vela","Australia"
"161","Astrolábos","Astrolábos (ἀστρολάβος) is the Greek word for astrolabe, an ancient astronomical instrument capable of measuring altitude, identifying stars or planets, determining latitude, etc.","WASP-43 b","Names of ancient astronomical instruments, especially for navigation.","Gnomon","10055","The gnomon (γνώμων) is a basic astronomical instrument, like a sundial, whose shadow length and direction can indicate time or determine latitude.","Sextans","Romania"
"162","Regoč","Regoč is the giant protagonist in the Croatian fairy tale Regoč.","WASP-63 b","Characters from the Croatian fairy tale Regoč by Croatian children’s writer Ivana Brlić-Mažuranić (1874-1938).","Kosjenka","10030","Kosjenka is the protagonist of the Croatian fairy tale Regoč.","Columba","Croatia"
"163","Makombé","The Makombé River is a tributary which feeds the Wouri River in Cameroon.","WASP-69 b","Rivers and their tributaries in Cameroon that flow into the Gulf of Guinea.","Wouri","10113","The Wouri is an important river in Cameroon. The 15th-century Portuguese navigator Fernão do Pó noted the large number of shrimps in the river and called it “Rio dos Camerões” [river of shrimps], which was the source of the nation’s name Cameroon.","Aquarius","Cameroon"
"164","Ahra","‘Ahra’ (아라) is a Korean word reminiscent of the ocean.","WD 0806-661 b","Korean words reminiscent of the sky, sea, and environment.","Maru","10043","‘Maru’ (마루) is a Korean word reminiscent of the sky.","Volans","Republic of Korea"
