"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Uúba","10,131","LTT 9779","117883","","Uuba","Scl","Uúba is the word for “stars”, “seeds”, and “eyes” in the Lenguistica U’wa language (Tunebo) of the U’wa Indigenous community of Colombia.","Lenguistica U’wa language, also known as Tunebo.","NEWC Colombia: Terms in the Lenguistica U’wa (Tunebo) language of the U’wa Indigenous community of Colombia related to their vision of the world and cosmos.","2023/08/01"
"Wattle","10,053","WASP-19","","","Wattle","Vel","Wattle is a genus of approximately 1000 species of shrubs and trees. The Golden Wattle (Acacia pycnantha), whose colour alludes to the G-type star WASP-19, is native to Australia and is the official floral emblem of Australia.","English","NEWC Australia: Names of native flora of Australia of cultural significance, whose characteristics allude to the properties of the celestial objects.","2023/08/01"
"Wouri","10,113","WASP-69","","","Wouri","Aqr","The Wouri is an important river in Cameroon. The 15th-century Portuguese navigator Fernão do Pó noted the large number of shrimps in the river and called it “Rio dos Camerões” [river of shrimps], which was the source of the nation’s name Cameroon.","Duala","NEWC Cameroon: Rivers and their tributaries in Cameroon that flow into the Gulf of Guinea.","2023/08/01"
"Zembra","10,120","HATS-72","","","Zembra","Aqr","Zembra (زمبرة) is an island in the Gulf of Tunis, known for its wildlife and seabirds. It is part of the UNESCO Iles Zembra et Zembretta Biosphere Reserve, Tunisia.","Arabic","NEWC Tunesia: Places and species associated with UNESCO biosphere reserves in Tunisia.","2023/08/01"
"Geminga","10,031","PSR B0633+17","","","Geminga","Gem","The star name is an Italian pun, suggested in a paper by Bignami et al. (1983): This source is in the constellation of Gemini and it is a gamma-ray source. Pronounced with both G’s as in “get,” the word means “does not exist” or “it’s not there” in Milanese dialect.","Contemporary","Bignami, G. F. ; Caraveo, P. A. ; Lamb, R. C. (1983). An identification for ""GEMINGA"" (2CG 195+04) 1E 0630+178 : a unique object in the error box of the high-energy gamma-ray source. Astrophysical Journal, Vol. 272, p. L9-L13","2022/04/04"
"Rana","1,168","HR 1136","17378","δ Eri","Rana","Eri","Rana is Latin ""The Frog"". There are several stars named ""frog"" in the Arabic culture but at different places.  WGSN placed the name at that constellation of the river.","Latin","","2022/04/04"
"Mazaalai","10,065","HAT-P-21","","","Mazaalai","UMa","Mazaalai is the Mongolian name for the endangered Gobi bear subspecies (Ursus arctos gobiensis) of the Gobi Desert region of Mongolia, and the name of the first Mongolian satellite.","Mongolian","2019 IAU100 NameExoWorlds","2020/02/24"
"Absolutno","10,038","XO-5","","","Absolutno","Lyn","Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel Čapek.","fictional","2019 IAU100 NameExoWorlds","2019/12/17"
"Alasia","10,103","HD 168746","90004","","Alasia","Ser","Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BCE.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Amadioha","10,025","HD 43197","29550","","Amadioha","CMa","Amadioha is the god of thunder in Igbo mythology. As well as representing justice, Amadioha is also a god of love, peace and unity.","Igbo","2019 IAU100 NameExoWorlds","2019/12/17"
"Amansinaya","10,059","WASP-34","","","Amansinaya","Crt","Aman Sinaya is one of the two trinity deities of the Philippine's Tagalog mythology, and is the primordial deity of the ocean and protector of fisherman.","Filipino","2019 IAU100 NameExoWorlds","2019/12/17"
"Anadolu","10,127","WASP-52","","","Anadolu","Peg","Anadolu is the primary homeland of Turkey and refers to the motherland in Turkish culture.","Turkish","2019 IAU100 NameExoWorlds","2019/12/17"
"Aniara","10,064","HD 102956","57820","","Aniara","UMa","Aniara is the name of a spaceship in the epic poem Aniara by Swedish author Harry Martinson.","fictional","2019 IAU100 NameExoWorlds","2019/12/17"
"Arcalís","10,079","HD 131496","72845","","Arcalís","Boo","Arcalis is a famous peak in the north of Andorra, where the Sun passes through a hole in the mountain twice a year at fixed dates. It was used as a primitive solar calendar and reference point for shepherds and early inhabitants of Andorra.","Catalan","2019 IAU100 NameExoWorlds","2019/12/17"
"Atakoraka","10,032","WASP-64","","","Atakoraka","CMa","Atakoraka means the chain of the Atacora: the largest mountain range in Togo.","Ewe","2019 IAU100 NameExoWorlds","2019/12/17"
"Axólotl","10,124","HD 224693","118319","","Axolotl","Cet","Axólotl means water animal in the native Nahuatl language, which is a unique and culturally significant endemic amphibious species from the basin of Mexico.","Nahuatl","2019 IAU100 NameExoWorlds","2019/12/17"
"Ayeyarwady","10,015","HD 18742","13993","","Ayeyarwady","Eri","Ayeyarwady is the largest and most important river in Myanmar.","Burmese","2019 IAU100 NameExoWorlds","2019/12/17"
"Baekdu","10,080","HD 133086","73136","8 UMi","Baekdu","UMi","Baekdu is the highest mountain on the Korean peninsula, situated in North Korea, and symbolises the national spirit of Korea.","Korean","2019 IAU100 NameExoWorlds","2019/12/17"
"Belel","10,106","HD 181342","95124","","Belel","Sgr","Belel is a rare source of water in the north of Senegal.","Wolof","2019 IAU100 NameExoWorlds","2019/12/17"
"Bélénos","10,006","HD 8574","6643","","Belenos","Psc","Bélénos was the god of light, of the Sun, and of health in Gaulish mythology.","French","2019 IAU100 NameExoWorlds","2019/12/17"
"Berehynia","10,021","HAT-P-15","","","Berehynia","Per","Berehynia was a Slavic deity of waters and riverbanks but in more recent times her status has been promoted to that of a national goddess — ""hearth mother, protectress of the earth"".","Ukrainian","2019 IAU100 NameExoWorlds","2019/12/17"
"Bibhā","10,049","HD 86081","48711","","Bibha","Sex","Bibhā [/bɪbɦa/] is the Bengali pronunciation of the Sanskrit word Vibha, which means a bright beam of light.","Bengali","2019 IAU100 NameExoWorlds","2019/12/17"
"Bosona","10,115","HD 206610","107251","","Bosona","Aqr","Bosona is the name given to the territory of Bosnia in the 10th century. Later, the name was transformed to Bosnia originating from the name of the Bosna river.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Bubup","10,023","HD 38283","26380","","Bubup","Men","Bubup is the Boonwurrung word for child.","Boonwurrung","2019 IAU100 NameExoWorlds","2019/12/17"
"Buna","10,008","HD 16175","12191","","Buna","And","Buna is the commonly used word for coffee in Ethiopia.","Ethiopian","2019 IAU100 NameExoWorlds","2019/12/17"
"Ceibo","10,033","HD 63454","37284","","Ceibo","Cha","Ceibo is the name of the native tree of Uruguay that gives rise to the national flower.","Spanish","2019 IAU100 NameExoWorlds","2019/12/17"
"Chaophraya","10,014","WASP-50","","","Chaophraya","Eri","Chao Phraya is the great river of Thailand.","Thai","2019 IAU100 NameExoWorlds","2019/12/17"
"Chasoň","10,105","HAT-P-5","","","Chason","Lyr","Chasoň is an ancient Slovak term for Sun.","Slovakian","2019 IAU100 NameExoWorlds","2019/12/17"
"Chechia","7,731","HD 192699","99894","","Chechia","Aql","Chechia is a flat-surfaced, traditional red wool hat worn by men and women, symbolising the country's rich traditions and is considered as the national headdress for in Tunisia.","Tunisian Arabic","2019 IAU100 NameExoWorlds","2019/12/17"
"Citadelle","10,001","HD 1502","1547","","Citadelle","Psc","The Citadelle is a large mountaintop fortress in Nord, Haiti built after Haiti's independence, and was designated a UNESCO World Heritage site along with the nearby Sans-Souci Palace.","French","2019 IAU100 NameExoWorlds","2019/12/17"
"Citalá","2,620","HD 52265","33719","","Citala","Mon","Citalá means River of stars in the native Nahuat language.","Nawat language","2019 IAU100 NameExoWorlds","2019/12/17"
"Cocibolca","10,003","HD 4208","3479","","Cocibolca","Scl","Cocibolca is the Nahualt name for the largest lake in Central America in Nicaragua.","Spanish","2019 IAU100 NameExoWorlds","2019/12/17"
"Dingolay","10,057","HD 96063","54158","","Dingolay","Leo","Dingolay means to dance, twist and turn in elaborate movements, symbolising the culture and language of the ancestors of the people of Trinidad and Tobago.","English","2019 IAU100 NameExoWorlds","2019/12/17"
"Dìwö","10,086","WASP-17","","","Dìwo","Sco","Dìwö in Bribri language means the sun (bigger than the sun we know) and that never turns off.","Bribri","2019 IAU100 NameExoWorlds","2019/12/17"
"Diya","10,013","WASP-72","","","Diya","For","Diya is an oil lamp that is brought by Indian ancestors to Mauritius in the 1820's, and is used for lighting during special occasions, including the light festival of Diwali.","Hindi","2019 IAU100 NameExoWorlds","2019/12/17"
"Dofida","10,073","HD 117618","66047","","Dofida","Cen","Dofida means our star in Nias language.","Nias language","2019 IAU100 NameExoWorlds","2019/12/17"
"Dombay","10,075","HAT-P-3","","","Dombay","UMa","Dombay is a resort region in the North Caucasus mountains that is enclosed by mountain forests and rich wildlife, including bears (as this star lies in the constellation Ursa Major, the great bear).","Russian","2019 IAU100 NameExoWorlds","2019/12/17"
"Ebla","10,122","HD 218566","114322","","Ebla","Psc","Ebla was one of the earliest kingdoms in Syria, and served as a prominent region in the 2nd and 3rd millenia B.C.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Emiw","10,005","HD 7199","5529","","Emiw","Tuc","Emiw represents love in the local Makhuwa language of the northern region of Mozambique.","Makhuwa","2019 IAU100 NameExoWorlds","2019/12/17"
"Felixvarela","10,002","BD-17 63","2247","","Felixvarela","Cet","Felix Varela (1788–1853) was the first to teach science in Cuba at the San Carlos and San Ambrosio Seminary. He opened the way to education for all, and began the experimental teaching of physics in Cuba.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Flegetonte","10,063","HD 102195","57370","","Flegetonte","Vir","Flegetonte is the underworld river of fire from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the star's fiery nature.","Italian","2019 IAU100 NameExoWorlds","2019/12/17"
"Formosa","4,458","HD 100655","56508","","Formosa","Leo","Formosa is the historical name of Taiwan used in the 17th century, meaning beautiful in Latin.","Portuguese","2019 IAU100 NameExoWorlds","2019/12/17"
"Franz","10,100","HAT-P-14","","","Franz","Her","Franz is a character in the movie ""Sissi"" embodying an emperor of Austria in the XIXth century. The role is played by the actor Karlheinz Böhm. The male name ""Franz"" is a German derivative from Italian ""Francesco"" (Latinized Franciscus), meaning ""litte Frenchman"" with the Latin root ""franc"" for ""free"" also interpretable as ""Little Free Man"". The name goes back to ""Franz von Assisi"" (Francis of Assisi, 13th century) whose mother was French which caused his father to call him Francesco.","German","2019 IAU100 NameExoWorlds","2019/12/17"
"Funi","10,068","HD 109246","61177","","Funi","Dra","Funi is an old Icelandic word meaning fire or blaze.","Icelandic","2019 IAU100 NameExoWorlds","2019/12/17"
"Gakyid","10,041","HD 73534","42446","","Gakyid","Cnc","Gakyid means happiness. Gross National Happiness is the development philosophy conceived and followed in Bhutan and is one of Bhutan's contributions to the world.","Dzongkha","2019 IAU100 NameExoWorlds","2019/12/17"
"Gloas","10,050","WASP-13","","","Gloas","Lyn","In Manx Gaelic, Gloas means to shine (like a star).","Manx Gaelic","2019 IAU100 NameExoWorlds","2019/12/17"
"Gumala","7,312","HD 179949","94645","V5652 Sgr","Gumala","Sgr","Gumala is a Malay word, which means a magic bezoar stone found in snakes, dragons, etc.","Malay","2019 IAU100 NameExoWorlds","2019/12/17"
"Hoggar","10,019","HD 28678","21109","","Hoggar","Tau","Hoggar is the name of the main mountain range in the Sahara Desert in southern Algeria.","Arabic","2019 IAU100 NameExoWorlds","2019/12/17"
"Horna","10,012","HAT-P-38","","","Horna","Tri","Horna is hell or the underworld from Finnic mythology.","Finnish","2019 IAU100 NameExoWorlds","2019/12/17"
"Hunahpú","10,058","HD 98219","55174","","Hunahpu","Crt","Hunahpú was one of the twin gods who became the Sun in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.","Kʼicheʼ language","2019 IAU100 NameExoWorlds","2019/12/17"
"Hunor","10,095","HAT-P-2","80076","","Hunor","Her","Hunor was a legendary ancestor of the Huns and the Hungarian nation, and brother of Magor.","Hungarian","2019 IAU100 NameExoWorlds","2019/12/17"
"Illyrian","10,046","HD 82886","47087","","Illyrian","LMi","Historians largely believe that the Albanians are descendants of the Illyrians, a term Albanians proudly call themselves.","English","2019 IAU100 NameExoWorlds","2019/12/17"
"Inquill","10,097","HD 156411","84787","","Inquill","Ara","Inquill was one half of the couple involved in the tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.","fictional","2019 IAU100 NameExoWorlds","2019/12/17"
"Intan","10,016","HD 20868","15578","","Intan","For","Intan means diamond in the Malay language (Bahasa Melayu), alluding to the shining of a star.","Bahasa Melyu","2019 IAU100 NameExoWorlds","2019/12/17"
"Irena","10,094","WASP-38","","","Irena","Her","Irena is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Irena is a woman of the court.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Itonda","10,116","HD 208487","108375","","Itonda","Gru","Itonda, in the Myene tongue, corresponds to all that is beautiful.","Myene","2019 IAU100 NameExoWorlds","2019/12/17"
"Jishui","2,920","HR 2930","37265","ο Gem","Jishui","Gem","traditional Chinese single star asterism: translations of the term are ""Bilgewater"", ""a store of water to make wine"", or ""accumulated water (held in by dikes for future use)"". It refers to a faint star in Gemini or Perseus that is idenfied differently by modern authors. Sun and Kistemaker (1997) from Han sources and Sun Shuwei (Stellarium) from a medieval source both suggest o Gem while Xu et al. (2000) identify lambda Persei.","Chinese","Shi shi xingjing (Star Catalogue of the Shi Shi)","2019/12/17"
"Kalausi","10,047","HD 83443","47202","","Kalausi","Vel","The word Kalausi means a very strong whirling column of wind in the Dholuo language of Kenya.","Dholuo","2019 IAU100 NameExoWorlds","2019/12/17"
"Kamuy","10,087","HD 145457","79219","","Kamuy","CrB","Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.","Ainu","2019 IAU100 NameExoWorlds","2019/12/17"
"Karaka","10,085","HD 137388","76351","","Karaka","Aps","Karaka is the word in the Māori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.","Māori","2019 IAU100 NameExoWorlds","2019/12/17"
"Kaveh","10,104","HD 175541","92895","","Kaveh","Ser","Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.","Persian","2019 IAU100 NameExoWorlds","2019/12/17"
"Koeia","10,009","HIP 12961","12961","","Koeia","Eri","Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.","Taíno","2019 IAU100 NameExoWorlds","2019/12/17"
"Koit","10,037","XO-4","","","Koit","Lyn","Koit is Estonian for the time when the Sun rises in the morning (dawn).","Estonian","2019 IAU100 NameExoWorlds","2019/12/17"
"Lerna","10,045","HAT-P-42","","","Lerna","Hya","Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.","Greek","2019 IAU100 NameExoWorlds","2019/12/17"
"Liesma","10,074","HD 118203","66192","","Liesma","UMa","Liesma means flame, and it is the name of a character from the Latvian poem Staburags un Liesma.","Lavtian","2019 IAU100 NameExoWorlds","2019/12/17"
"Lionrock","10,118","HD 212771","110813","","Lionrock","Aqr","Lion Rock is a lion-shaped peak overlooking Hong Kong and is a cultural symbol with deep respect from the local community.","English","2019 IAU100 NameExoWorlds","2019/12/17"
"Lucilinburhuc","10,026","HD 45350","30860","","Lucilinburhuc","Aur","The Lucilinburhuc fortress was built in 963 by the founder of Luxembourg, Count Siegfried.","Luxembourgish","2019 IAU100 NameExoWorlds","2019/12/17"
"Lusitânia","10,027","HD 45652","30905","","Lusitania","Mon","Lusitânia is the ancient name of the western region of the Iberic Peninsula where the Lusitanian people lived and where most of modern-day Portugal is situated.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Macondo","10,054","HD 93083","52521","","Macondo","Ant","Macondo is the mythical village of the novel One Hundred Years of Solitude (Cien años de soledad) the classic novel by Gabriel García Marquez. Macondo is a fictional place where magic and reality are mixed.","Spanish","2019 IAU100 NameExoWorlds","2019/12/17"
"Mago","1,700","HD 32518","24003","","Mago","Cam","Mago is a National Park in Ethiopia noted for its giraffes. The star also happens to be in the constellation of Camelopardis (the giraffe).","Ethiopian","2019 IAU100 NameExoWorlds","2019/12/17"
"Mahsati","10,093","HD 152581","82651","","Mahsati","Oph","Mahsati Ganjavi (1089–1159) is one of the brightest shining stars of Azerbaijani poetry. She was said to have associated with both Omar Khayyam and Nizami and was well educated and talented and played numerous musical instruments.","Persian","2019 IAU100 NameExoWorlds","2019/12/17"
"Malmok","10,082","WASP-39","","V732 Vir","Malmok","Vir","Malmok is an indigenous name given to a beach in Aruba with a narrow sandy stretch that interrupts the limestone and rocky terrace along the coast. Its shallow clear Caribbean waters make it a popular snorkelling spot.","Papiamento","2019 IAU100 NameExoWorlds","2019/12/17"
"Márohu","10,126","WASP-6","","","Marohu","Aqr","Márohu the god of drought is the protector of the Sun and is engraved at a higher position on the stalagmite than Boinayel in the El Puente cave, where the Sun makes its way down every 21 December.","Taíno","2019 IAU100 NameExoWorlds","2019/12/17"
"Moldoveanu","10,092","XO-1","","","Moldoveanu","CrB","Moldoveanu is the highest peak in Romania of the Făgăraș mountain range with an altitude of 2544 metres.","Romanian","2019 IAU100 NameExoWorlds","2019/12/17"
"Mönch","10,083","HD 130322","72339","","Monch","Vir","Mönch is one of the prominent peaks of the Bernese Alps in Switzerland.","German","2019 IAU100 NameExoWorlds","2019/12/17"
"Montuno","10,022","WASP-79","","","Montuno","Eri","Montuno is the traditional costume the man wears in the “El Punto”, a Panamanian dance in which a man and woman dance to the sound of drums.","Spanish","2019 IAU100 NameExoWorlds","2019/12/17"
"Morava","10,130","WASP-60","","","Morava","Peg","Morava is the longest river system in Serbia.","Serbian","2019 IAU100 NameExoWorlds","2019/12/17"
"Moriah","10,112","HAT-P-23","","","Moriah","Del","Moriah is an ancient name for the mountain within the Old City of Jerusalem.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Mouhoun","10,020","HD 30856","22491","","Mouhoun","Eri","Mouhoun, also called Volta Noire, is the largest river in Burkina Faso and plays an important role in the lives of the people in the areas it passes through.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Mpingo","10,007","WASP-71","","","Mpingo","Cet","Mpingo is a famous tree that grows in southern Tanzania and produces ebony wood used for musical instruments and curios.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Muspelheim","10,011","HAT-P-29","","","Muspelheim","Per","Muspelheim is the Norse mythological realm of fire. The first gods used the sparks of Muspelheim to form the sun, moon, planets, and stars.","Old Norse","2019 IAU100 NameExoWorlds","2019/12/17"
"Naledi","10,024","WASP-62","","","Naledi","Dor","Naledi means star in the Sesotho, SeTswana and SePedi languages and is typically given as a name to girls in the hope that they will bring light, joy and peace to their communities.","Sesotho, Se Tswana and SePedi","2019 IAU100 NameExoWorlds","2019/12/17"
"Násti","10,040","HD 68988","40687","","Nasti","UMa","Násti means star in the Northern Sami language of Norway.","Northern Sami","2019 IAU100 NameExoWorlds","2019/12/17"
"Natasha","10,048","HD 85390","48235","","Natasha","Vel","Natasha means ""thank you"" in many languages of Zambia.","Zambian","2019 IAU100 NameExoWorlds","2019/12/17"
"Nenque","10,004","HD 6434","5054","","Nenque","Phe","Nenque means the Sun in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador.","Waorani","2019 IAU100 NameExoWorlds","2019/12/17"
"Nervia","10,029","HD 49674","32916","","Nervia","Aur","Nervia, adapted from Nervii, was a prominent Belgian Celtic tribe.","Latin","2019 IAU100 NameExoWorlds","2019/12/17"
"Nikawiy","10,084","HD 136418","74961","","Nikawiy","Boo","Nikawiy is the word for mother in the Indigenous Cree language of Canada.","Cree language","2019 IAU100 NameExoWorlds","2019/12/17"
"Nosaxa","10,028","HD 48265","31895","","Nosaxa","Pup","Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.","Moqoit","2019 IAU100 NameExoWorlds","2019/12/17"
"Nushagak","10,010","HD 17156","13192","","Nushagak","Cas","Nushagak is a regional river near Dilingham, Alaska, which is famous for its wild salmon that sustain local Indigenous communities.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Nyamien","10,076","WASP-15","","","Nyamien","Cen","Nyamien refers to the supreme creator deity of Akan mythology.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Parumleo","10,000","WASP-32","","","Parumleo","Psc","Parumleo is a modern Pseudo-Latin term with the intended meaning ""little lion"", symbolising Singapore's struggle for independence. The name is a modern invention.","Latin","2019 IAU100 NameExoWorlds","2019/12/17"
"Petra","10,109","WASP-80","","","Petra","Aql","Petra is a historical and archaeological city in southern Jordan and a UNESCO World Heritage site.","Greek","2019 IAU100 NameExoWorlds","2019/12/17"
"Phoenicia","10,111","HD 192263","99711","V1703 Aql","Phoenicia","Aql","Phoenicia was an ancient thalassocratic civilisation of the Mediterranean that originated from the area of modern-day Lebanon.","Latin","2019 IAU100 NameExoWorlds","2019/12/17"
"Pincoya","10,102","HD 164604","88414","","Pincoya","Sgr","Pincoya is a female water spirit from southern Chilean mythology who is said to bring drowned sailors to the Caleuche so that they can live in the afterlife.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Pipoltr","10,101","TrES-3 Parent Star","","V1434 Her","Pipoltr","Her","In the local Triesenberg dialect of German, Pipoltr is a bright and visible butterfly, alluding to the properties of a star.","German","2019 IAU100 NameExoWorlds","2019/12/17"
"Poerava","10,123","HD 221287","116084","","Poerava","Tuc","Poerava is the word in the Cook Islands Maori language for a large mystical black pearl of utter beauty and perfection.","Cook Islands Maori","2019 IAU100 NameExoWorlds","2019/12/17"
"Rapeto","10,096","HD 153950","83547","","Rapeto","Sco","Rapeto is a giant creature from Malagasy tales.","Malagasy","2019 IAU100 NameExoWorlds","2019/12/17"
"Rosalíadecastro","10,091","HD 149143","81022","","Rosalíadecastro","Oph","Rosalia de Castro was a significant figure of Galician culture and prominent Spanish writer, whose pioneeting work often referenced the night and celestial objects.","NEWC","2019 IAU100 NameExoWorlds","2019/12/17"
"Sagarmatha","10,061","HD 100777","56572","","Sagarmatha","Leo","Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.","Nepali","2019 IAU100 NameExoWorlds","2019/12/17"
"Sāmaya","10,114","HD 205739","106824","","Samaya","PsA","Sāmaya means peace in the Sinhalese language.","Sinhalese","2019 IAU100 NameExoWorlds","2019/12/17"
"Sansuna","10,110","HAT-P-34","","","Sansuna","Sge","Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.","Maltese","2019 IAU100 NameExoWorlds","2019/12/17"
"Shama","10,060","HD 99109","55664","","Shama","Leo","Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.","Urdu","2019 IAU100 NameExoWorlds","2019/12/17"
"Sharjah","10,088","HIP 79431","79431","","Sharjah","Sco","Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.","Arabic","2019 IAU100 NameExoWorlds","2019/12/17"
"Sika","10,107","HD 181720","95262","","Sika","Sgr","Sika means gold in the Ewe language and gold is one of Ghana's principal exports.","Ewe","2019 IAU100 NameExoWorlds","2019/12/17"
"Solaris","10,117","BD+14 4559","104780","","Solaris","Peg","Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.","fictional","2019 IAU100 NameExoWorlds","2019/12/17"
"Sterrennacht","10,129","HAT-P-6","","","Sterrennacht","And","The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.","Dutch","2019 IAU100 NameExoWorlds","2019/12/17"
"Stribor","10,042","HD 75898","43674","","Stribor","Lyn","Stribor is God of winds in Slavic mythology, as well as a literature character in the book Priče iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brlić-Mažuranić.","Slavic languages","2019 IAU100 NameExoWorlds","2019/12/17"
"Taika","10,119","HAT-P-40","","","Taika","Lac","Taika means peace in the Lithuanian language.","Lithuanian","2019 IAU100 NameExoWorlds","2019/12/17"
"Tangra","10,125","WASP-21","","","Tangra","Peg","Tangra is the supreme celestial god that early Bulgars worshiped.","Bulgarian","2019 IAU100 NameExoWorlds","2019/12/17"
"Tapecue","10,034","HD 63765","38041","","Tapecue","Car","Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.","Guarani","2019 IAU100 NameExoWorlds","2019/12/17"
"Tevel","10,036","HAT-P-9","","","Tevel","Aur","Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.","Hebrew","2019 IAU100 NameExoWorlds","2019/12/17"
"Timir","10,089","HD 148427","80687","","Timir","Oph","Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.","Bengali","2019 IAU100 NameExoWorlds","2019/12/17"
"Tislit","10,044","WASP-161","","","Tislit","Pup","Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.","Amazigh","2019 IAU100 NameExoWorlds","2019/12/17"
"Tojil","10,018","WASP-22","","","Tojil","Eri","Tojil is the name of one of the Mayan deities related to rain, storms, and fire.","Mayan","2019 IAU100 NameExoWorlds","2019/12/17"
"Tuiren","10,069","HAT-P-36","","","Tuiren","CVn","Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.","Old Irish","2019 IAU100 NameExoWorlds","2019/12/17"
"Tupã","10,067","HD 108147","60644","","Tupa","Cru","Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.","Guarani","2019 IAU100 NameExoWorlds","2019/12/17"
"Tupi","10,017","HD 23079","17096","","Tupi","Ret","Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.","Tupi languages","2019 IAU100 NameExoWorlds","2019/12/17"
"Uklun","10,062","HD 102117","57291","","Uklun","Cen","Uklun means us or we in the Pitkern language of the people of Pitcairn Islands.","Pitkern","2019 IAU100 NameExoWorlds","2019/12/17"
"Uruk","10,108","HD 231701","96078","","Uruk","Sge","Uruk was an ancient city of the Sumer and Babylonian civilizations in Mesopotamia situated along an ancient channel of the Euphrates river in modern-day Iraq.","Akkadian","2019 IAU100 NameExoWorlds","2019/12/17"
"Xihe","7,058","HD 173416","91852","","Xihe","Lyr","Xihe (羲和) is the goddess of the sun in the Chinese mythology and also represents the earliest astronomers and developers of calendars in ancient China.","Chinese","2019 IAU100 NameExoWorlds","2019/12/17"
"Gudja","5,888","HR 5879","77450","κ Ser","Gudja","Ser","Gudja is the Wardaman name of κ Ser, from the Northern Territory, Australia. Gudja is a Water Goanna, related to birth and rebirth. It is part of the bright trio of stars in Serpens Caput, which also include Munin the Rock Cod (γ Ser) and the Mungamungga birthing place (β Ser), likened to a little hospital. Gudja is involved with the birthing process, which includes sacred ritual practices. The Spiritual Women at the birthing and blessing site in Serpens Caput are connected to the sacred areas of Crux and enacted at Munin Rock and Yinggalarri.","Aboriginal/ Wardaman","Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW. pp. 107-113.","2018/08/10"
