"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Yaqana","6,136","HR 6115","80582","ε Nor","Yaqana","Nor","Yaqana is a mother llama and forms a super-constellation with Uñallamacha, the baby llama. They rise in the sky when baby llamas are born on Earth.","Quechua","see ASE","2026/06/18"
"Moth","10,145","HD 61005","36948","","Moth","Pup","The star has a surrounding nebula and circumstellar disk, creating the appearance of a moth.","English","see ASE","2026/06/13"
"Butterfly Star","10,146","IRAS 04302+2247","","","Butterfly Star","Tau","The YSO was nicknamed ""Butterfly"" in 1997 because of the shape of its infrared image in Lucas and Roche (1997), who announced it as ""a butterfly in Taurus"".","English","see ASE","2026/06/13"
"Dust-Ball","10,147","V* V927 Per","","","Dust-Ball","Per","In infrared, the star V927 Per looks embedded into a dusty nebula with bow shocks; the unresolved fuzziness caused the nickname.","English","see ASE","2026/06/13"
"Flying Saucer","10,148","2MASS J16281370-2431391","","","Flying Saucer","Oph","The star 2MASS J16281370-2431391 is invisible and got the name in 2008 becaus of its edge-on disk of large grains (dust or debris).","English","see ASE","2026/06/13"
"Necklace","10,149","IRAS 19417+1701","","","Necklace","Sge","The star is the central star of a planetary nebula, nicknamed The Necklace Nebula (Sabin 2010). the binary shows eqautorial and polar outflow causing a knotted ring structure which led to the name.","English","see ASE","2026/06/13"
"Peony Star","10,150","WR 102ka","","","Peony Star","Sgr","The nebula of this WN star seems to look like a peony flower.","English","see ASE","2026/06/13"
"Rosette Eye","10,151","RAFGL 961","","","Rosette Eye","Mon","To the discoverers, the nebula around this star looked like a cat eye in the Rosette Nebula, so they nicknamed it the ""rosette eye"".","English","see ASE","2026/06/13"
"Southern Crab","10,152","WRAY 16-147","","","Southern Crab","Cen","The ""southern crab"" is easily visible in the structure of this PN around this star and therefore nicknamed in the popular French magazin ""Ciel et Espace"" in 2008.","English","see ASE","2026/06/13"
"Beehive Proplyd","10,153","HH 540","","","Beehive Proplyd","Ori","Infrared photographs of the outlayers of the Great Orion Nebula M42 show a structure around this Herbig Haro Object that resembles a beehive.","English","see ASE","2026/06/13"
"Frosty Leo","10,154","IRAS 09371+1212","","","Frosty Leo","Leo","Frosty Leo is the name of the post-AGB star IRAS 09371+1212 in constellation Leo. It is ""an icy evolved, mass-losing star with a unique IR spectrum"" (1987).","English","see ASE","2026/06/13"
"Bibing","1,280","HR 1239","18724","λ Tau","Bibing","Tau","Bibing (畢柄), The handle of the Net (Lunar Mansion) in the super-constellation of the White Tiger of the West, attested in ancient China for more than 2000 years.","Chinese","see ASE","2026/05/17"
"Lembu","1,583","HR 1547","22565","97 Tau","Lembu","Tau","""Lintang Lěmbu"" means Ox/Bull/Cow Constellation, representing an animal to pull carts & chariots. It is found in the calendar series Palelintangan used for at least 1300 years on the islands of Java and Bali, Indonesia.","Proto-Mon-Khmer","see ASE","2026/05/17"
"Shakata","1,446","HR 1407","20877","75 Tau","Shakata","Tau","Rohiṇīśakaṭa (रोहिणीशकट) is the Cart of Rohini, a deity represented in the star Aldebaran, and one of the nakshatras.  Her cart is traditionally seen in the Hyades star cluster; WGSN represents it by a star within their central area to honour the area's cultural importance.","Sanskrit","see ASE","2026/05/17"
"Nüchuang","6,438","HR 6418","84380","π Her","Nuchuang","Her","Nǚ Chuáng (Women’s Bed, 女床)  is a small asterism consisting of only three stars that dates back to around 100 BCE and belongs to the Shi school.","Chinese","see ASE","2026/05/14"
"Tianji","6,217","HR 6212","81693","ζ Her","Tianji","Her","Celestial Discipline, 天紀, is an ancient Chinese asterism of nine stars first recorded in the Western Han Shishi xingjing (Master Shi’s Star Canon, 石氏星經).","Chinese","see ASE","2026/05/14"
"Asuusiha","6,094","HR 6092","79992","τ Her","Asuusiha","Her","Asu Usiha (Manchu: ᠠᠰᡠ ᡠᠰᡳᡥᠠ, Net Stars), a Manchu shamanic constellation. It represents a hunting net to capture sables.","Manchu","see ASE","2026/05/14"
"Khepdenreret","6,351","HR 6324","83207","ϵ Her","Khepdenreret","Her","Khepdenreret, the Buttocks of the Hippopotamus (goddess) Reret, is a star name from ancient Egypt documented in the Ramesside Star Clocks from around 1200 BCE","Egyptian","see ASE","2026/05/14"
"Aurwandilsta","5,971","HR 5971","78493","ι CrB","Aurwandilsta","CrB","Aurvandils tá, Aurvandill's Toe, is a Norse constellation from Iceland, documented in Snorri's Edda from the 13th century CE.","Norse","see ASE","2026/05/14"
"Baltesha","5,854","HR 5849","76952","γ CrB A","Baltesha","CrB","(MUL.)BAL.TEŠ2.A (𒀯𒁄𒌨𒀀), the Asterism of Dignity, is an ancient Sumerian constellation in CrB.","Sumerian","see ASE","2026/05/14"
"Matrichakra","5,891","HR 5889","77512","δ CrB","Matrichakra","CrB","Mātrīcakra, The Circle (मातृचक्र), is an Indian name for CrB; the Sanskrit term occurs on historical globes and astrolabes.","Sanskrit","see ASE","2026/05/14"
"Guansuo","5,782","HR 5778","76127","θ CrB A","Guansuo","CrB","Guàn Suǒ (Coiled Thong, 贯索), a Chinese constellation of 9 stars in CrB. It resembles a string threaded through a series of copper coins, attested since ancient times.","Chinese","see ASE","2026/05/14"
"Stephanos","5,861","HR 5855","77048","π CrB","Stephanos","CrB","Στέφανος, The Wreath, is the ancient Greek name of CrB. It can represent either the laurel wreath of an emperor or victorious athlete, or a bridal wreath.","Ancient Greek","see ASE","2026/05/14"
"Speedy Mic","10,143","HD 197890","102626","","Speedy Mic","Mic","The variable star V* BO Mic is a red (K-type) flare star with outbursts of high energy (X-ray, UV) and an extraordinarily rapid rotation: its radius equaling that of our Sun, it completes a rotation in 0.38 days (instead of 25).","English","see ASE","2026/05/09"
"Red Rectangle","10,144","HD 44179","30089","","Red Rectangle","Mon","The binary system V777 Mon is embedded in a bipolar nebula that made the star look like a rectangle in the first infrared images in 1973. The object was considered peculiar and nicknamed ""red rectangle"" in a 1975 paper.","English","see ASE","2026/05/09"
"Paloma","10,142","2MASS J05243042+4244506","","","Paloma","Aur","Paloma, The Dove/ Pigeon, was introduced by a research team in 2007 for this peculiar cataclysmic variable due to its proximity to an SNR that looks like a bird (name has been in SIMBAD already).","Spanish","see ASE","2026/04/19"
"Sapaki","10,138","WR 67-1","","","Sapaki","Cir","The word translates into ""solitary"" which refers to the research find that this Wolf-Rayet star was born in isolation (name has been in SIMBAD already).","Quechua","see ASE","2026/04/18"
"Bajamar Star","10,139","2MASS J20555125+4352246","","","Bajamar Star","Cyg","a star close to the North America Nebula named after an original term for the Bahamas islands (name has been in SIMBAD already).","Spanish","see ASE","2026/04/18"
"Calvera","10,140","PSR J1412+7922","","","Calvera","UMi","This neutron star is named after the villain in the 1960 film The Magnificent Seven, as it was found in 2001 as eighth object of the category of isolated neutron stars that had formerly been called The Magnificant Seven (name has been in SIMBAD already).","fictional","see ASE","2026/04/18"
"Holoea","10,141","IRAS 05327+3404","","","Holoea","Aur","The name is Hawaiian for ""flowing gas"", given to this Young Stellar Object because it was discovered with the James Clerk Maxwell Telescope at Mauna Kea, Hawaii (name has been in SIMBAD already).","Hawaiian","see ASE","2026/04/18"
"Stella Ludoviciana","10,137","HD 116798","","","Stella Ludoviciana","UMa","The modern Latin name was given to the star in 1722 due to a misinterpreted observation, mistaking it for a planet (name has been in SIMBAD already).","Latin","see ASE","2026/04/17"
"Pulcherrima","5,486","HR 5505","72105","ε Boo B","Pulcherrima","Boo","The Latin name translates to ""most beautiful"" or ""loveliest,"" referring to its striking, contrasting colors; it was introduced by F. Struve in 1837.","Latin","see ASE","2026/04/15"
"Maenalus","5,502","HR 5511","72220","109 Virginis","Maenalus","Vir","Mons Maenalus is an early modern European constellation or asterism introduced by Hevelius (1690), setting a celestial memorial for a mountain in the central Peloponnese, Greece.","Latin","see ASE","2026/04/15"
"Alrumh","5,481","HR 5490","71995","34 Bootis","Alrumh","Boo","Al-Rumḥ (الرُّمْح), the Lance/ Spear, is an Arabic asterism from pre-Islamic times that covers the area between Epsilon, Upsilon, Eta and Sigma Bootis. The named star is close to the dominant Epsilon Bootis, which also forms part of the Chinese constellation of The Lance (Genghe).","Arabic","see ASE","2026/04/15"
"Genghe","5,434","HR 5447","71284","Sigma Bootis","Genghe","Boo","Gěnghé (Celestial Lance, 梗河) is a Chinese constellation of 3 stars. WGSN named the second star in the line.","Chinese","see ASE","2026/04/15"
"Kalasungsang","5,420","HR 5429","71053","Rho Bootis","Kalasungsang","Boo","On Bali (Indonesia) ""Kala"" means ""demon"" and ""sungsang"" means ""upside down"". Originally, the term is from Sanskrit काल, dark/ death or time. The daemon reminds us not to waste time.","Sanskrit, Javanese","see ASE","2026/04/15"
"Qigong","5,673","HR 5681","74666","Delta Bootis A","Qigong","Boo","Qī Gōng (Seven Excellencies, 七公) is a Chinese asterism composed of seven stars; WGSN named the determinative star after the constellation.","Chinese","see ASE","2026/04/15"
"Tepiamenit","5,189","HR 5185","67275","Tau Bootis","Tepiamenit","Boo","Menit, The Mooring Post, is an Egyptian constellation, preserved in Ramesside Star Clocks of the 2nd millennium BCE. Tepiamenit is the ""Predecessor of the Pole"" inside Menit.","Egyptian","see ASE","2026/04/15"
"Krios","10,134","HD 240429","","","Krios","Cas","Krios is one of the twelve Titans from Greek mythology. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).","Greek","see ASE","2026/03/22"
"Kronos","10,135","HD 240430","","","Kronos","Cas","Kronos is a Greek god. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).","Greek","see ASE","2026/03/22"
"Pherkad Minor","5,686","HR 5714","74793","11 UMi","Pherkad Minor","UMi","One of Piazzi's star names following the schema of naming a faint visual neighbour in reference to the visually more striking star in a constellation.","Arabic, Latin","see ASE","2026/03/22"
"Pistol Star","10,136","V*4647 Sgr","","","Pistol Star","Sgr","A blue supergiant surrounded by a nebula which is the reason for the name (name has been in SIMBAD already).","English","see ASE","2026/03/22"
"Ping","1,674","HR 1654","23685","eps Lep","Ping","Lep","Píng (屏), the Screen in front of a toilet, is a Chinese constellation","Chinese","see ASE","2026/03/22"
"Bade","1,717","HR 1702","24305","μ Lep","Bade","Lep","Bade, the Funeral Tower, is an Oceanic constellation name from Bali (Indonesia).","Balinese","see ASE","2026/03/22"
"Darlugal","2,014","HR 1998","27288","zet Lep","Darlugal","Lep","Derived from Sumerian DAR.LUGAL, The Rooster, an animal first domesticated in China and India, and archaeologically attested in West Asia only since the 2nd millennium BCE for cockfights.","Sumerian","see ASE","2026/03/22"
"Udang","8,060","HR 8075","104139","tet Cap","Udang","Cap","Udang, ""the Shrimp"", is an Oceanic name from Bali (Indonesia). It is anchored in the cultural calendar called ""Palelintangan"" which is attested for ~1300 years. Particularly whiteleg and tiger shrimp are leading fishery commodity in Bali with significant economic potential.","Balinese","see ASE","2026/02/22"
"Gaja","1,533","HR 1497","21881","tau Tau","Gaja","Tau","The term ""gaja"" (गज) in Sanskrit means ""elephant"". Yet, the constellation ""Gaja(h)"" is not known in India but only in Indonesia. There it is attested in the cultural calendar called Palelintangan where it is found in the intersection between Sunday and the second day of a five-day cycle.","Sanskrit","see ASE","2026/02/22"
